42,48,68
39,40,47
20,34,21
19,25,38
28,69,27
39,30,71
26,70,25
41,50,51
26,29,70
59,61,60
51,42,47
31,40,39
72,32,69
27,26,24
71,70,32
30,38,25
70,30,25
24,18,23
38,46,19
45,39,68
46,35,19
45,38,39
44,48,43
25,19,24
13,14,44
67,62,63
36,76,37
9,10,57
52,53,42
56,63,57
53,48,42
54,43,53
75,74,35
61,66,49
27,23,22
60,49,5
59,60,6
5,49,4
5,6,60
7,59,6
61,49,60
58,59,8
8,59,7
67,63,64
41,51,47
66,61,67
66,65,51
53,43,48
59,62,61
67,64,65
49,3,4
49,41,40
49,50,41
52,51,65
50,49,66
66,51,50
52,42,51
72,28,2
49,40,3
40,31,72
31,32,72
28,22,1
2,28,1
72,69,28
28,27,22
69,32,29
69,29,27
32,70,29
24,26,25
27,29,26
27,24,23
71,30,70
71,31,39
32,31,71
72,2,40
3,40,2
41,47,40
68,39,47
38,30,39
42,68,47
48,45,68
44,45,48
46,38,45
19,35,74
46,45,35
37,75,36
35,45,75
20,18,19
74,20,19
19,18,24
34,20,74
21,18,20
75,37,74
73,21,34
18,17,23
18,21,17
21,16,17
21,73,33
73,76,33
34,37,73
34,74,37
45,36,75
44,36,45
54,55,43
73,37,76
16,33,15
16,21,33
44,76,36
33,76,14
33,14,15
65,53,52
64,54,53
65,64,53
64,63,55
63,56,55
55,13,44
55,44,43
14,76,44
66,67,65
62,57,63
61,62,67
59,58,62
57,58,8
57,62,58
8,9,57
55,54,64
56,57,10
10,11,56
12,13,55
55,56,11
55,11,12
